AT,PM2.5,RH,WS,CO,NO2,Ozone,SO2,AQI
13.18,481.62,71.69,0.32,3.38,89.52,27.43,21.63,578.1692308
11.63,359.67,71.9,0.34,3.63,83.81,33.64,23.5,484.3615385
12.41,287.71,67.28,0.32,1.82,86.46,28.9,20.49,429.0076923
11.76,351.62,69.67,0.76,1.15,92.6,35.19,21.87,478.1692308
11.22,306.25,67.88,0.8,2.03,81.87,28.93,21.62,443.2692308
12.85,324.75,61.9,0.31,3.55,123.85,22.31,22.36,457.5
13.66,242.08,56.3,0.57,2.72,104.15,15.38,21.57,393.9076923
14.45,175.05,49.38,0.39,3.23,127.82,15.21,23.48,342.3461538
14.21,375.22,54.37,0.38,3.55,138.44,16.32,23.48,496.3230769
15.63,245.79,49.12,0.66,2.73,108.89,18.2,22.99,396.7615385
16.02,203.12,47.66,0.77,4.47,106.34,19.62,23.31,363.9384615
16.64,231.46,46.89,0.44,2.32,127.68,21.1,30.28,385.7384615
16.16,388.08,50.59,0.35,4.66,138.17,20.06,24.98,506.2153846
16.01,302.62,48.09,0.39,2.49,122.85,22.32,24.83,440.4769231
15.98,240.96,50.45,0.71,1.84,101.49,21.87,20.95,393.0461538
17.19,164.95,42.85,0.47,2.05,112.71,26.2,27.99,334.5769231
14.02,294.38,64.78,1.19,1.2,72.23,23.55,17.61,434.1384615
16.99,451.83,62.99,0.3,3.9,143.52,24.85,33.11,555.2538462
17.37,409.32,58.2,0.35,2.34,149.9,21.02,21.69,522.5538462
13.77,235.55,60.66,0.4,1.52,109.46,18.53,22.79,388.8846154
20.66,183.85,33.06,0.4,2.67,158.76,59.94,34.09,349.1153846
17.81,247.94,48.15,0.61,2.9,122.84,48.28,29.78,398.4153846
14.05,196.4,61.87,1.82,2.09,86.8,18.71,24.86,358.7692308
13.42,162.97,66.09,0.71,2.08,72.06,22.81,25.29,333.0538462
5.84,76.21,26.05,0.33,10.11,363.16,29.909302,10.92,369.3
12.76,191.67,71.39,0.78,2.61,80.82,29.909302,16.85,355.1307692
13.25,223.46,62.76,0.49,3.51,181.77,9.1,15.08,379.5846154
14.31,235.79,61.73,0.73,2.99,158.11,8.1,15.77,389.0692308
15.46,242.21,56.39,1,3.74,303.2,3.7,12.75,394.0076923
19.03,134.25,42.95,2.14,3.67,145.51,29.909302,18.55,310.9615385
18.84,144,47.81,2.49,5.16,154.39,29.909302,14.99,318.4615385
20.09,193.92,46.1,0.81,4.09,336.89,31.63,13.67,356.8615385
20.04,129.08,48.39,1.03,2.28,232.83,5.2,16.41,306.9846154
18.91,105.12,39.99,1.12,4.15,204.26,6.55,17.59,250.4
17.18,136.11,42.21,1.57,6.35,240.65,2,14.94,312.3923077
16.92,178.25,36.92,0.92,2.17,305.72,22.44,14.23,344.8076923
17.62,130.33,38.77,1.82,1.83,182.89,23.73,18.07,307.9461538
17.45,136.5,37.31,1.74,1.95,196.97,39.47,13.38,312.6923077
16.76,232.33,43.77,0.71,3.32,178.95,14.98,17.26,386.4076923
17.25,228.17,43.75,0.74,2.73,210.39,15.1,13.14,383.2076923
18.04,309.75,41.21,0.39,3.94,129.76,18.92,25.63,445.9615385
18.59,165.12,38.81,1.56,1.84,132.08,22.8,17.32,334.7076923
16.12,62,60.92,3.94,2.79,55.25,17.37,7.17,109.875
17.49,118.92,62.48,1.12,2.08,147.16,24.57,18.82,296.4
17.44,69.25,49.69,2.65,1.58,110.63,20.01,19.32,130.8333333
18.2,91.25,51.7,2.52,1.6,141.62,22.25,18.66,204.1666667
19.4,123.94,53.1,1.1,1.76,210.82,22.52,12.96,303.0307692
20.16,135.17,51.22,1.39,2.88,192.83,20.15,16.86,311.6692308
19.77,161.5,49.19,1.2,2.93,160.3,20.34,17.04,331.9230769
20.03,261.25,44.66,0.71,3.45,152.91,18.81,21.48,408.6538462
21.52,231.17,45.77,0.94,3.43,202.56,20.7,19.25,385.5153846
23.58,251.17,45.69,0.52,3.02,173.97,37.52,21.81,400.9
23.41,214.75,54.82,0.47,2.78,217.95,15.94,17.46,372.8846154
24.26,238.29,53.91,0.37,2.62,206.58,18.86,19.24,390.9923077
24.13,183.33,53.03,1.46,2.4,97.83,23.19,15.1,348.7153846
22.79,125,55.14,1.28,1.72,114.64,22.17,22.85,303.8461538
21.24,63.17,58.01,2.88,2.07,99.48,19.82,14.5,119.48
23.02,89.5,56.22,1.46,3.64,166.19,15.74,14.46,198.3333333
23.73,151.17,59.42,0.73,2.44,163.35,19.63,17.8,323.9769231
23.09,141.71,54.36,0.78,2.17,185.31,13.54,18.01,316.7
24.1,179.5,54.95,1.02,2.9,167.68,31.25,17.5,345.7692308
25.02,105.25,49.98,0.65,3.27,145.38,19.97,20.23,250.8333333
23.51,99.58,50.04,1.11,1.35,115.24,22.07,16.76,231.9333333
22.62,75.46,50.88,1.47,1.53,144.43,20.68,15.94,164.43
22.2,75.67,50.65,2.02,3.93,127.49,26.16,14.54,152.2333333
22.86,95.35,48.55,1.51,2.74,136.16,24.35,15.78,217.8333333
23.94,226.08,50.4,0.61,2.69,117.44,34.13,34.4,381.6
24.8,156.12,46.07,1.06,2.35,160.12,29.26,34.39,327.7846154
25.21,67.79,42.92,1.68,1.77,105.28,24.84,16.55,125.9666667
25.66,79.6,45.5,1.22,1.25,112.6,25.9,19,165.3333333
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
30.11,79.77,27.28,0.73,3.1,185.09,30.2,21.5,205.09
25.95,141.42,44,1.38,1.79,158.14,29.32,18.91,316.4769231
24.78,154.5,45.07,1.39,0.9,131.17,31.6,18.45,326.5384615
21.68,93.91,48.81,1.39,0.75,127.5,24.09,14.47,213.0333333
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
29.58,166.57,32.93,0.7,1.48,191.63,73.92,39.92,335.8230769
26.15,166.25,47.97,1.26,0.89,86.77,43.33,30.26,335.5769231
24.69,110.71,51.34,1.43,1.04,73.06,28.09,19.78,269.0333333
24.66,63.75,48.49,1.33,1.16,100.86,30.62,14.23,120.86
26.29,80,45.52,1.88,0.5,104.21,32.53,14.69,166.6666667
29.3,72.41,35.59,2.46,1.03,78.35,39.74,18.09,141.3666667
27.56,91.19,40.14,2,1.08,120.81,27.59,16.67,203.9666667
28.78,158.88,33.6,1.05,1.95,205.22,30.6,28.32,329.9076923
30.01,171.25,32.94,1.5,1.1,83.37,42.56,34.76,339.4230769
29.37,116.53,31.89,1.93,0.95,135.4,35.3,14.88,288.4333333
26.3,129.45,43.73,1.07,1.33,149.9,16.6,21.19,307.2692308
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
30.38,73.92,37.49,2.53,0.84,74.16,52.01,11.16,146.4
29.15,110.17,40.05,2.16,1.72,86.83,54.43,23.9,267.2333333
31.05,111.17,37.38,1.65,0.6,77.98,45.8,11.99,270.5666667
31.77,143.79,37.44,0.93,1.35,143.94,53.05,20.19,318.3
31.8,212.13,39.09,0.79,1.64,169.65,57.95,24.35,370.8692308
29.64,97.67,37.98,1.58,1.16,104.5,32.43,22.52,225.5666667
27.76,54.96,45.61,2.39,1.19,59.16,44.04,8.31,91.6
28.64,49.38,44.64,3.77,1.1,47.82,41.2,5.42,82.3
24.6,49.13,59.66,3.23,1.25,49.5,29.26,6.41,81.88333333
31.1,80.56,39.71,1.77,1.12,97.5,63.56,3.11,168.5333333
25.73,54.62,54.45,3.2,1.51,61.2,20.62,3.4,91.03333333
27.48,66.37,45.55,1.52,1.62,112.65,34.94,8.69,132.65
29.04,140.58,27.94,1.23,1.94,113.03,59.3,9.85,315.8307692
30.48,163.05,24.68,1.49,1.16,107.93,66.92,7.65,333.1153846
32.96,132,25.54,0.42,4.41,141.16,41.59,27.65,309.2307692
31.78,180.29,30.95,1.7,2.53,148.82,56.27,24.5,346.3769231
32.88,105.8,27.75,1.16,2.05,205.92,41.03,7.25,252.6666667
32.54,74.58,23.83,2.28,1.71,77.44,52.6,12.36,148.6
33.76,92.83,23.31,1.08,2.35,156.12,41.66,15.74,209.4333333
32.93,108.03,23.83,2.14,1.43,83.42,29.71,16.1,260.1
29.97,179.92,29.63,1.54,2.1,89.37,36.66,7.54,346.0923077
29.3,112,22.37,2.08,1.35,60.95,48.07,2.55,273.3333333
30.5,94.25,18.85,1.73,1.64,93.92,52.98,7.62,214.1666667
32.34,142.46,18.98,1.1,2.59,196.07,38.79,12.54,317.2769231
34.12,171.12,18.09,0.78,2.12,220.05,25.99,18.25,339.3230769
35.37,232.03,18.29,0.74,2.45,165.04,66.37,19.62,386.1769231
32.43,97.75,42.5,3.09,1.67,39.76,20.05,3.03,225.8333333
32.79,84.82,42.56,3.69,1.84,40.72,32.1,3.13,182.7333333
33.59,99.21,40.38,1.63,1.9,43.51,35.64,4.21,230.7
33.31,146.39,39.85,2.5,1.8,56.98,25.35,4.11,320.3
30.39,49.25,52.22,4.78,1.48,28.54,10.29,1.66,82.08333333
29.62,58.54,51.4,3.91,1.6,40.65,24.08,3.43,97.56666667
28.63,48.67,49.66,3.86,1.61,41.55,25.84,2.2,81.11666667
29.99,51.38,50.93,3.6,1.84,41.83,21.51,2.07,92
33.85,93.33,38.54,1,2.32,103.41,44.43,7.33,211.1
32.94,130.83,34.68,1.5,1.52,127.71,34.65,20.47,308.3307692
34.01,185.33,30.48,0.96,2.55,166.32,53.37,22.31,350.2538462
29.99,81.79,38.03,2.54,1.67,56.78,39.29,7.54,172.6333333
28.58,110.67,45.63,0.82,2.17,79.46,38.57,12.7,268.9
32.06,120.79,39.57,0.97,2.48,141.7,40.39,7.96,300.6076923
34.94,194.88,33.41,0.86,2.44,205.7,41.53,8.75,357.6
34.55,242.49,38.26,1.8,2.03,137.05,35.75,8.13,394.2230769
31.59,80.33,49.78,3.47,2.04,31.71,21.48,1.69,167.7666667
29.48,51.12,46.62,2.03,1.53,27.06,36.34,1.81,85.2
31.8,73.04,48.08,2.22,1.64,26.5,30.28,3.16,143.4666667
34.19,82.12,36.13,1.85,1.65,44.56,30.34,5.31,173.7333333
35.6,112.75,26.54,1.16,1.69,88.79,56.08,7.06,275.8333333
34.44,117.46,30.92,1.13,1.71,100.04,52.23,16.82,291.5333333
34.73,127.75,33.85,0.92,3.41,182.49,48.43,15.81,305.9615385
35.33,104.92,25.45,1,1.42,93.54,35.84,9.1,249.7333333
36.77,72.29,13.96,1.45,1.83,59.89,45.4,16.82,140.9666667
37.75,121.94,15.68,0.83,2.49,105.41,42.13,23.96,301.4923077
37.24,177.79,24.25,0.81,3.08,143.71,71.23,17.12,344.4538462
36.17,134.84,26.67,0.66,2.04,90.9,40.15,10.94,311.4153846
37.16,111.21,15.85,1.14,2.38,200.78,58.6,9.87,270.7
38.26,101.42,14.79,0.76,2.07,171.37,33.92,10.03,238.0666667
37.96,115.46,16.83,1.05,1.89,244.16,44.03,9.59,284.8666667
36.53,125.5,26.16,0.85,2.44,75.72,36.3,15.96,304.2307692
37.02,124.17,32.82,2.25,1.9,133.11,31.15,5.18,303.2076923
34.06,56.67,42.98,3.43,1.65,45.86,22.17,2.32,94.45
35.8,70.12,40.26,2.18,1.68,54.34,18.41,2.61,133.7333333
33.3,71.38,50.69,4.54,1.65,34.5,16.3,1.86,137.9333333
30.79,44.04,49.27,3.64,1.71,35.46,26.71,0.95,85.5
32.55,55.87,53.53,3.5,1.72,38.81,14.29,1.67,93.11666667
35.03,58.62,48.69,3.92,1.54,38.53,15.67,1.47,97.7
35.14,49.75,48.27,4.2,1.77,37.56,19.35,4.47,88.5
31.87,58.96,60.53,2.69,1.83,58.93,23.1,4.96,98.26666667
34.89,184.95,51.78,1.97,1.9,44.54,21.81,8.52,349.9615385
34.64,112.67,55.15,4.11,1.61,29.49,19.06,7.12,275.5666667
32.71,26.54,64.12,3.96,1.79,25.12,17.2,4.38,89.5
36.14,90.8,46.59,1.26,2.15,49.51,31.49,7.8,202.6666667
36.03,86.83,47.11,2.02,1.57,42.98,22.97,7.5,189.4333333
37.63,168.21,41.07,1.48,1.85,48.64,18.38,11.09,337.0846154
38.72,330.46,35.22,2.14,1.96,111.35,18.85,7.18,461.8923077
37.73,258.38,33.52,1.78,1.8,93.65,23.16,6.45,406.4461538
36.84,252.71,35.08,1.81,1.73,61.43,21.58,5.61,402.0846154
34.61,183.98,48.38,1.73,1.83,36.93,17.32,6.2,349.2153846
31.52,108.33,57.3,1.48,1.67,27.12,21.91,5.02,261.1
32.67,94.83,48.31,1.53,1.47,28.35,23.8,9.22,216.1
33.89,68.32,48,1.12,1.71,36.51,26.6,6.2,127.7333333
36.25,95.76,44.4,0.92,1.94,31.73,41.87,13.99,219.2
36.88,104.37,40.15,0.7,1.81,49.05,28.5,9.02,247.9
37.89,132.7,39.22,0.69,2.82,79.49,48.51,37.22,309.7692308
37.88,97.5,37.63,0.96,1.94,96.242136,24.77,15.77,225
37.6,76.76,35.95,1.81,1.34,73.74,41.04,14.67,155.8666667
38.13,59.61,41.67,3.31,0.04,96.242136,9.47,11.43,116.242136
31.99,73.36,55.9,0.4,1.66,96.242136,17.71,17.5,144.5333333
28.63,67.33,74.82,2.4,2.354661,96.242136,9.57,18.878943,124.4333333
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
25.284656,158.782888,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,329.8329908
